trade_id,entry_time,exit_time,entry_price,minutes_held,lot1_exit_reason,lot2_exit_reason,lot1_exit_price,lot2_exit_price,total_pnl,positive_move_percent,negative_move_percent,win
0,2026-02-26 07:01:00+05:30,2026-02-26 09:40:00+05:30,68285.0,159,take_profit_250pips,time_exit_159min,68287.5,68528.5,86.1,0.8244856117741818,-0.36977374240316324,True
1,2026-02-26 10:42:00+05:30,2026-02-26 13:21:00+05:30,68268.0,159,take_profit_250pips,time_exit_159min,68270.5,67815.0,-157.67499999999998,0.6269408800609363,-0.738999238296127,False
2,2026-02-26 19:55:00+05:30,2026-02-26 22:34:00+05:30,68091.0,159,take_profit_250pips,time_exit_159min,68093.5,66881.5,-422.45,-0.3208940976046761,-2.270490960626221,False
3,2026-02-27 02:22:00+05:30,2026-02-27 05:01:00+05:30,67308.0,159,take_profit_250pips,time_exit_159min,67310.5,67517.5,74.19999999999999,0.4717121293159802,-0.6804540322101384,True
4,2026-02-27 05:31:00+05:30,2026-02-27 08:10:00+05:30,67439.5,159,take_profit_250pips,time_exit_159min,67442.0,67424.5,-4.375,1.11655632085054,-0.5656922130205592,False
5,2026-02-27 12:01:00+05:30,2026-02-27 14:40:00+05:30,67608.5,159,take_profit_250pips,time_exit_159min,67611.0,67932.5,114.27499999999999,0.773571370463773,-2.4826759948823005,True
6,2026-02-27 19:26:00+05:30,2026-02-27 22:05:00+05:30,66191.5,159,take_profit_250pips,time_exit_159min,66194.0,65925.0,-92.39999999999999,-0.2606074798123626,-1.6558017268078227,False
7,2026-02-28 04:31:00+05:30,2026-02-28 07:10:00+05:30,65544.0,159,take_profit_250pips,time_exit_159min,65546.5,65795.0,88.725,0.6987672403271086,0.17240327108507264,True
8,2026-02-28 08:41:00+05:30,2026-02-28 11:20:00+05:30,65873.5,159,take_profit_250pips,time_exit_159min,65876.0,65487.0,-134.39999999999998,-0.4637676759243095,-4.377329275049906,False
9,2026-02-28 15:01:00+05:30,2026-02-28 17:40:00+05:30,63784.5,159,take_profit_250pips,time_exit_159min,63787.0,63889.0,37.449999999999996,2.437112464626986,0.007055005526420997,True
10,2026-02-28 20:42:00+05:30,2026-02-28 23:21:00+05:30,64306.5,159,take_profit_250pips,time_exit_159min,64309.0,65095.5,277.025,4.2165255456291355,1.2051658852526572,True
11,2026-03-01 05:37:00+05:30,2026-03-01 08:16:00+05:30,66870.5,159,take_profit_250pips,time_exit_159min,66873.0,68116.5,436.97499999999997,1.9074180692532583,0.2796449854569653,True
12,2026-03-01 17:34:00+05:30,2026-03-01 20:13:00+05:30,66460.0,159,take_profit_250pips,time_exit_159min,66462.5,66778.5,112.35,1.1518206439963887,-1.142792657237436,True
13,2026-03-02 03:36:00+05:30,2026-03-02 06:15:00+05:30,65670.5,159,take_profit_250pips,time_exit_159min,65673.0,66622.5,334.075,2.140991769515993,0.2801866896094898,True
14,2026-03-02 07:37:00+05:30,2026-03-02 10:16:00+05:30,66129.5,159,take_profit_250pips,time_exit_159min,66132.0,66684.0,194.95,1.2702349178505812,-0.9194081310156585,True
15,2026-03-02 11:30:00+05:30,2026-03-02 14:09:00+05:30,66673.0,159,time_exit_159min,time_exit_159min,65897.0,65897.0,-543.1999999999999,0.03599658032486914,-1.2703793139651733,False
16,2026-03-02 16:55:00+05:30,2026-03-02 19:34:00+05:30,66123.0,159,take_profit_250pips,time_exit_159min,66125.5,65391.0,-255.325,5.47540190251501,-1.326316107859595,False
17,2026-03-03 00:03:00+05:30,2026-03-03 02:42:00+05:30,69172.0,159,take_profit_250pips,time_exit_159min,69174.5,69106.5,-22.049999999999997,0.4821314982941074,-0.6729601572890765,False
18,2026-03-03 04:48:00+05:30,2026-03-03 07:27:00+05:30,69196.5,159,take_profit_250pips,time_exit_159min,69199.0,68788.5,-141.92499999999998,-0.552773622943357,-1.50513393018433,False
19,2026-03-03 13:07:00+05:30,2026-03-03 15:46:00+05:30,68080.5,159,take_profit_250pips,time_exit_159min,68083.0,66425.5,-578.375,-0.15422918456826845,-2.4588538568312512,False
20,2026-03-03 19:35:00+05:30,2026-03-03 22:14:00+05:30,67112.5,159,take_profit_250pips,time_exit_159min,67115.0,67710.5,210.17499999999998,2.647792885081021,0.5714285714285714,True
21,2026-03-04 01:38:00+05:30,2026-03-04 04:17:00+05:30,68366.5,159,take_profit_250pips,time_exit_159min,68369.0,68292.0,-25.2,0.675038213159954,-0.7810843029846489,False
22,2026-03-05 01:44:00+05:30,2026-03-05 04:23:00+05:30,73399.5,159,take_profit_250pips,time_exit_159min,73402.0,72666.5,-255.675,-0.13555950653614807,-1.5197651210158107,False
