entry_idx,exit_idx,entry_time,exit_time,entry_price,lot1_exit_price,lot2_exit_price,lot1_size,lot2_size,lot1_pnl,lot2_pnl,total_pnl,win,lot1_exit_reason,lot2_exit_reason,minutes_held,sma_value,volume_ratio,inside_bar_range,prev_bar_range,positive_move_after_159min,negative_move_after_159min,risk_reward,bar_ratio
26735,26894,2026-03-16 15:34:00+05:30,2026-03-16 18:13:00+05:30,73377.5,73380.0,73791.0,0.35,0.35,0.875,144.725,145.6,True,take_profit_250pips,time_exit_159min,159,73409.96683673469,0,57.5,143.0,1.5147695138155428,-0.5635242410820755,1.0,0.40209509024412415
27054,27213,2026-03-16 20:53:00+05:30,2026-03-16 23:32:00+05:30,73850.0,73852.5,73948.5,0.35,0.35,0.875,34.474999999999994,35.349999999999994,True,take_profit_250pips,time_exit_159min,159,73789.89285714286,0,62.5,67.5,0.7501692620176033,-0.13337846987136087,1.0,0.925912208708019
27318,27477,2026-03-17 01:17:00+05:30,2026-03-17 03:56:00+05:30,73994.0,73996.5,74582.5,0.35,0.35,0.875,205.975,206.85,True,take_profit_250pips,time_exit_159min,159,73941.33418367348,0,104.5,118.5,2.0298943157553313,0.2885369083979782,1.0,0.8818490983198454
27739,27898,2026-03-17 08:18:00+05:30,2026-03-17 10:57:00+05:30,75237.0,75239.5,74365.0,0.35,0.35,0.875,-305.2,-304.325,False,take_profit_250pips,time_exit_159min,159,75238.45408163265,0,29.5,85.5,-1.068623150843335,-1.9883833752010316,1.0,0.3450252043835744
28266,28425,2026-03-17 17:05:00+05:30,2026-03-17 19:44:00+05:30,74005.5,74008.0,73691.0,0.35,0.35,0.875,-110.07499999999999,-109.19999999999999,False,take_profit_250pips,time_exit_159min,159,73980.64285714286,0,37.0,146.0,1.1600489152833235,-0.692516096776591,1.0,0.2534229217608098
28440,28599,2026-03-17 19:59:00+05:30,2026-03-17 22:38:00+05:30,73861.0,73863.5,74169.5,0.35,0.35,0.875,107.975,108.85,True,take_profit_250pips,time_exit_159min,159,73840.58418367348,0,84.0,162.0,1.2327209217313604,0.14554365632742586,1.0,0.5185153178066801
28762,28921,2026-03-18 01:21:00+05:30,2026-03-18 04:00:00+05:30,74479.5,74482.0,74303.0,0.35,0.35,0.875,-61.775,-60.9,False,take_profit_250pips,time_exit_159min,159,74445.01530612246,0,42.0,116.0,-0.15440490336267026,-1.3151269812498743,1.0,0.36206584425996324
29279,29438,2026-03-18 09:58:00+05:30,2026-03-18 12:37:00+05:30,74258.5,74261.0,73857.5,0.35,0.35,0.875,-140.35,-139.475,False,take_profit_250pips,time_exit_159min,159,74253.53571428571,0,19.5,40.5,-0.005386588740682884,-0.8079883111024326,1.0,0.48146959334337425
29498,29657,2026-03-18 13:37:00+05:30,2026-03-18 16:16:00+05:30,73969.0,73971.5,73843.5,0.35,0.35,0.875,-43.925,-43.05,False,take_profit_250pips,time_exit_159min,159,73988.57397959183,0,21.0,40.5,0.09666211521042599,-2.534845678595087,1.0,0.5185057159082492
30063,30222,2026-03-18 23:02:00+05:30,2026-03-19 01:41:00+05:30,71364.5,71367.0,70463.5,0.35,0.35,0.875,-315.34999999999997,-314.47499999999997,False,take_profit_250pips,time_exit_159min,159,71357.11224489796,0,46.0,62.0,0.05324776324362954,-1.2632331201087377,1.0,0.7419235173626232
30274,30433,2026-03-19 02:33:00+05:30,2026-03-19 05:12:00+05:30,71266.0,71268.5,71253.5,0.35,0.35,0.875,-4.375,-3.5,False,take_profit_250pips,time_exit_159min,159,71270.04591836735,0,12.5,46.0,0.10523952515926248,-0.564083854853647,1.0,0.27173322319080023
30453,30612,2026-03-19 05:32:00+05:30,2026-03-19 08:11:00+05:30,71166.0,71168.5,71182.5,0.35,0.35,0.875,5.7749999999999995,6.6499999999999995,True,take_profit_250pips,time_exit_159min,159,71171.73724489796,0,41.5,51.0,0.6042211168254503,-0.7587893095017283,1.0,0.8137095351071548
31133,31292,2026-03-19 16:52:00+05:30,2026-03-19 19:31:00+05:30,70176.0,70178.5,69884.5,0.35,0.35,0.875,-102.02499999999999,-101.14999999999999,False,take_profit_250pips,time_exit_159min,159,70198.76785714286,0,39.0,50.0,-0.05557455540355677,-2.0227713178294575,1.0,0.7799844003119938
31299,31458,2026-03-19 19:38:00+05:30,2026-03-19 22:17:00+05:30,69672.5,69675.0,69412.5,0.35,0.35,0.875,-91.0,-90.125,False,take_profit_250pips,time_exit_159min,159,69728.99234693877,0,62.0,107.0,1.2896049373856255,-0.8360543973590728,1.0,0.5794338370669433
31791,31950,2026-03-20 03:50:00+05:30,2026-03-20 06:29:00+05:30,70396.0,70398.5,70167.5,0.35,0.35,0.875,-79.975,-79.1,False,take_profit_250pips,time_exit_159min,159,70390.58928571429,0,39.5,54.5,0.5518779476106597,-0.48369225524177506,1.0,0.7247573439019468
32037,32196,2026-03-20 07:56:00+05:30,2026-03-20 10:35:00+05:30,70168.0,70170.5,70726.5,0.35,0.35,0.875,195.475,196.35,True,take_profit_250pips,time_exit_159min,159,70183.60714285714,0,19.0,61.5,0.9598392429597538,0.0014251510660129973,1.0,0.30893806604770657
32585,32744,2026-03-20 17:04:00+05:30,2026-03-20 19:43:00+05:30,70680.0,69826.5,69826.5,0.35,0.35,-298.72499999999997,-298.72499999999997,-597.4499999999999,False,time_exit_159min,time_exit_159min,159,70683.19897959183,0,23.0,24.0,-0.617572156196944,-1.731041312959819,1.0,0.9582934044414816
